Frame ID,Name,Category
0,Indiana Jones and the Last Crusade,Action
1,Indiana Jones and the Last Crusade,Action
2,Indiana Jones and the Last Crusade,Action
3,Indiana Jones and the Last Crusade,Action
4,Indiana Jones and the Last Crusade,Action
5,Indiana Jones and the Last Crusade,Action
6,Indiana Jones and the Last Crusade,Action
7,Indiana Jones and the Last Crusade,Action
8,Indiana Jones and the Last Crusade,Action
9,Indiana Jones and the Last Crusade,Action
10,Indiana Jones and the Last Crusade,Action
11,Indiana Jones and the Last Crusade,Action
12,Indiana Jones and the Last Crusade,Action
13,Indiana Jones and the Last Crusade,Action
14,Indiana Jones and the Last Crusade,Action
15,Indiana Jones and the Last Crusade,Action
16,Indiana Jones and the Last Crusade,Action
17,Indiana Jones and the Last Crusade,Action
18,Indiana Jones and the Last Crusade,Action
19,Indiana Jones and the Last Crusade,Action
20,Indiana Jones and the Last Crusade,Action
21,Indiana Jones and the Last Crusade,Action
22,Indiana Jones and the Last Crusade,Action
23,Indiana Jones and the Last Crusade,Action
24,Indiana Jones and the Last Crusade,Action
25,Indiana Jones and the Last Crusade,Action
26,Indiana Jones and the Last Crusade,Action
27,Indiana Jones and the Last Crusade,Action
28,Indiana Jones and the Last Crusade,Action
29,Indiana Jones and the Last Crusade,Action
30,Indiana Jones and the Last Crusade,Action
31,Indiana Jones and the Last Crusade,Action
32,Indiana Jones and the Last Crusade,Action
33,Indiana Jones and the Last Crusade,Action
34,Indiana Jones and the Last Crusade,Action
35,Indiana Jones and the Last Crusade,Action
36,Indiana Jones and the Last Crusade,Action
37,Indiana Jones and the Last Crusade,Action
38,Indiana Jones and the Last Crusade,Action
39,Indiana Jones and the Last Crusade,Action
40,Indiana Jones and the Last Crusade,Action
41,Indiana Jones and the Last Crusade,Action
42,Indiana Jones and the Last Crusade,Action
43,Indiana Jones and the Last Crusade,Action
44,Indiana Jones and the Last Crusade,Action
45,Indiana Jones and the Last Crusade,Action
46,Indiana Jones and the Last Crusade,Action
47,Indiana Jones and the Last Crusade,Action
48,Indiana Jones and the Last Crusade,Action
49,Indiana Jones and the Last Crusade,Action
50,Indiana Jones and the Last Crusade,Action
51,Indiana Jones and the Last Crusade,Action
52,Indiana Jones and the Last Crusade,Action
53,Indiana Jones and the Last Crusade,Action
54,Indiana Jones and the Last Crusade,Action
55,Indiana Jones and the Last Crusade,Action
56,Indiana Jones and the Last Crusade,Action
57,Indiana Jones and the Last Crusade,Action
58,Indiana Jones and the Last Crusade,Action
59,Indiana Jones and the Last Crusade,Action
60,Indiana Jones and the Last Crusade,Action
61,Indiana Jones and the Last Crusade,Action
62,Indiana Jones and the Last Crusade,Action
63,Indiana Jones and the Last Crusade,Action
